time,instrument,period,high,low,open,close
2012-07-16 12:00:00,6A,5,1.0178,1.0175,1.0178,1.0175
2012-07-16 12:05:00,6A,5,1.0175,1.017,1.0175,1.0171
2012-07-16 12:10:00,6A,5,1.0174,1.0171,1.0171,1.0171
2012-07-16 12:15:00,6A,5,1.0172,1.0169,1.0172,1.0171
2012-07-16 12:20:00,6A,5,1.0171,1.0164,1.017,1.0166
2012-07-16 12:25:00,6A,5,1.0167,1.0164,1.0166,1.0166
2012-07-16 12:30:00,6A,5,1.0166,1.0164,1.0165,1.0165
2012-07-16 12:35:00,6A,5,1.0167,1.0165,1.0165,1.0166
2012-07-16 12:40:00,6A,5,1.0168,1.0162,1.0167,1.0162
2012-07-16 12:45:00,6A,5,1.0164,1.0162,1.0162,1.0164
2012-07-16 12:50:00,6A,5,1.0165,1.0163,1.0163,1.0165
2012-07-16 12:55:00,6A,5,1.0167,1.0164,1.0164,1.0166
2012-07-16 13:00:00,6A,5,1.0172,1.0165,1.0165,1.017
2012-07-16 13:05:00,6A,5,1.0173,1.017,1.0171,1.017
2012-07-16 13:10:00,6A,5,1.0171,1.0167,1.017,1.0169
2012-07-16 13:15:00,6A,5,1.0168,1.0167,1.0168,1.0168
2012-07-16 13:20:00,6A,5,1.0168,1.0166,1.0168,1.0168
2012-07-16 13:25:00,6A,5,1.0168,1.0167,1.0168,1.0167
2012-07-16 13:30:00,6A,5,1.0172,1.0167,1.0167,1.0172
2012-07-16 13:35:00,6A,5,1.0176,1.0171,1.0171,1.0174
2012-07-16 13:40:00,6A,5,1.0174,1.0172,1.0174,1.0172
2012-07-16 13:45:00,6A,5,1.0174,1.0171,1.0172,1.0173
2012-07-16 13:50:00,6A,5,1.0179,1.0174,1.0174,1.0176
2012-07-16 13:55:00,6A,5,1.0179,1.0176,1.0176,1.0177
2012-07-16 14:00:00,6A,5,1.0179,1.0176,1.0176,1.0177
2012-07-16 14:05:00,6A,5,1.0185,1.0177,1.0177,1.0184
2012-07-16 14:10:00,6A,5,1.0185,1.0183,1.0184,1.0184
2012-07-16 14:15:00,6A,5,1.0185,1.0184,1.0185,1.0184
2012-07-16 14:20:00,6A,5,1.0194,1.0183,1.0184,1.0192
2012-07-16 14:25:00,6A,5,1.0191,1.0188,1.0191,1.0188
2012-07-16 14:30:00,6A,5,1.0194,1.0189,1.0189,1.0193
2012-07-16 14:35:00,6A,5,1.0199,1.0192,1.0193,1.0194
2012-07-16 14:40:00,6A,5,1.0196,1.0192,1.0194,1.0192
2012-07-16 14:45:00,6A,5,1.0194,1.0191,1.0193,1.0191
2012-07-16 14:50:00,6A,5,1.0192,1.0191,1.0192,1.0191
2012-07-16 14:55:00,6A,5,1.0194,1.0189,1.0191,1.0191
2012-07-16 15:00:00,6A,5,1.0195,1.0192,1.0192,1.0194
2012-07-16 15:05:00,6A,5,1.0197,1.0193,1.0194,1.0197
2012-07-16 15:10:00,6A,5,1.0197,1.0195,1.0197,1.0196
2012-07-16 15:15:00,6A,5,1.0197,1.0195,1.0196,1.0197
2012-07-16 15:20:00,6A,5,1.0199,1.0197,1.0197,1.0199
2012-07-16 15:25:00,6A,5,1.0201,1.0198,1.0199,1.0198
2012-07-16 15:30:00,6A,5,1.02,1.0198,1.0199,1.0199
2012-07-16 15:35:00,6A,5,1.0199,1.0197,1.0199,1.0198
2012-07-16 15:40:00,6A,5,1.02,1.0194,1.0199,1.0196
2012-07-16 15:45:00,6A,5,1.0195,1.0193,1.0195,1.0194
2012-07-16 15:50:00,6A,5,1.0195,1.0192,1.0194,1.0192
2012-07-16 15:55:00,6A,5,1.0193,1.0191,1.0193,1.0193
2012-07-16 16:00:00,6A,5,1.0194,1.019,1.0193,1.0193
2012-07-16 16:05:00,6A,5,1.0194,1.0192,1.0193,1.0193
2012-07-16 16:10:00,6A,5,1.0193,1.0189,1.0193,1.019
2012-07-16 16:15:00,6A,5,1.0193,1.0189,1.0191,1.0191
2012-07-16 16:20:00,6A,5,1.0194,1.0191,1.0191,1.0191
2012-07-16 16:25:00,6A,5,1.0192,1.0189,1.0191,1.0189
2012-07-16 16:30:00,6A,5,1.0189,1.0187,1.0188,1.0189
2012-07-16 16:35:00,6A,5,1.0189,1.0186,1.0189,1.0186
2012-07-16 16:40:00,6A,5,1.0186,1.0185,1.0185,1.0186
2012-07-16 16:45:00,6A,5,1.0189,1.0186,1.0186,1.0189
2012-07-16 16:50:00,6A,5,1.0189,1.0187,1.0189,1.0187
2012-07-16 16:55:00,6A,5,1.0189,1.0189,1.0189,1.0189
2012-07-16 17:00:00,6A,5,1.0191,1.0187,1.0189,1.0189
2012-07-16 18:05:00,6A,5,1.0189,1.0184,1.0186,1.0185
2012-07-16 18:10:00,6A,5,1.0185,1.0184,1.0184,1.0185
2012-07-16 18:15:00,6A,5,1.0186,1.0184,1.0184,1.0186
2012-07-16 18:20:00,6A,5,1.0186,1.0185,1.0186,1.0185
2012-07-16 18:25:00,6A,5,1.0187,1.0185,1.0187,1.0185
2012-07-16 18:30:00,6A,5,1.0185,1.0184,1.0185,1.0184
2012-07-16 18:35:00,6A,5,1.0185,1.0183,1.0184,1.0185
2012-07-16 18:40:00,6A,5,1.0185,1.0185,1.0185,1.0185
2012-07-16 18:45:00,6A,5,1.0185,1.018,1.0185,1.018
2012-07-16 18:50:00,6A,5,1.0182,1.0179,1.0181,1.018
2012-07-16 18:55:00,6A,5,1.0182,1.018,1.0181,1.0182
2012-07-16 19:00:00,6A,5,1.0184,1.0182,1.0182,1.0184
2012-07-16 19:05:00,6A,5,1.0183,1.0183,1.0183,1.0183
2012-07-16 19:10:00,6A,5,1.0185,1.0183,1.0183,1.0185
2012-07-16 19:15:00,6A,5,1.0187,1.0183,1.0183,1.0186
2012-07-16 19:20:00,6A,5,1.0187,1.0184,1.0187,1.0184
2012-07-16 19:25:00,6A,5,1.0186,1.0185,1.0185,1.0185
2012-07-16 19:30:00,6A,5,1.0186,1.0184,1.0185,1.0184
2012-07-16 19:35:00,6A,5,1.0184,1.0183,1.0184,1.0183
2012-07-16 19:40:00,6A,5,1.0183,1.0182,1.0183,1.0182
2012-07-16 19:45:00,6A,5,1.0185,1.0182,1.0182,1.0182
2012-07-16 19:50:00,6A,5,1.0184,1.0182,1.0182,1.0184
2012-07-16 19:55:00,6A,5,1.0183,1.0181,1.0183,1.0181
2012-07-16 20:00:00,6A,5,1.0182,1.0181,1.0181,1.0181
2012-07-16 20:05:00,6A,5,1.0183,1.0181,1.0182,1.0182
2012-07-16 20:10:00,6A,5,1.0183,1.0181,1.0182,1.0181
2012-07-16 20:15:00,6A,5,1.0191,1.0181,1.0181,1.0189
2012-07-16 20:20:00,6A,5,1.019,1.0187,1.019,1.0189
2012-07-16 20:25:00,6A,5,1.0189,1.0185,1.0189,1.0185
2012-07-16 20:30:00,6A,5,1.0191,1.0186,1.0186,1.0191
2012-07-16 20:35:00,6A,5,1.0194,1.0191,1.0192,1.0193
2012-07-16 20:40:00,6A,5,1.0194,1.0191,1.0193,1.0192
2012-07-16 20:45:00,6A,5,1.0196,1.0191,1.0191,1.0195
2012-07-16 20:50:00,6A,5,1.0196,1.0194,1.0195,1.0195
2012-07-16 20:55:00,6A,5,1.02,1.0195,1.0196,1.0199
2012-07-16 21:00:00,6A,5,1.02,1.0197,1.0198,1.0199
2012-07-16 21:05:00,6A,5,1.0199,1.0196,1.0199,1.0196
2012-07-16 21:10:00,6A,5,1.0197,1.0194,1.0197,1.0196
2012-07-16 21:15:00,6A,5,1.0198,1.0195,1.0196,1.0198
2012-07-16 21:20:00,6A,5,1.0208,1.0197,1.0198,1.0208
2012-07-16 21:25:00,6A,5,1.0232,1.0209,1.0209,1.0221
2012-07-16 21:30:00,6A,5,1.0229,1.022,1.0221,1.0225
2012-07-16 21:35:00,6A,5,1.0239,1.0225,1.0227,1.0232
2012-07-16 21:40:00,6A,5,1.0239,1.0231,1.0232,1.0231
2012-07-16 21:45:00,6A,5,1.0234,1.0224,1.023,1.023
2012-07-16 21:50:00,6A,5,1.0236,1.0231,1.0231,1.0232
2012-07-16 21:55:00,6A,5,1.0234,1.0232,1.0233,1.0232
2012-07-16 22:00:00,6A,5,1.0232,1.0226,1.0232,1.0228
2012-07-16 22:05:00,6A,5,1.024,1.0228,1.0229,1.0236
2012-07-16 22:10:00,6A,5,1.0239,1.0233,1.0237,1.0234
2012-07-16 22:15:00,6A,5,1.0237,1.0233,1.0234,1.0235
2012-07-16 22:20:00,6A,5,1.0237,1.0233,1.0234,1.0236
2012-07-16 22:25:00,6A,5,1.0236,1.0234,1.0236,1.0236
2012-07-16 22:30:00,6A,5,1.0238,1.0235,1.0236,1.0236
2012-07-16 22:35:00,6A,5,1.0239,1.0235,1.0236,1.0239
2012-07-16 22:40:00,6A,5,1.0245,1.0238,1.0239,1.0243
2012-07-16 22:45:00,6A,5,1.0245,1.0237,1.0243,1.0239
2012-07-16 22:50:00,6A,5,1.024,1.0238,1.0239,1.0238
2012-07-16 22:55:00,6A,5,1.024,1.0238,1.0238,1.0238
2012-07-16 23:00:00,6A,5,1.0238,1.0235,1.0237,1.0235
2012-07-16 23:05:00,6A,5,1.0239,1.0234,1.0236,1.0237
2012-07-16 23:10:00,6A,5,1.0238,1.0235,1.0237,1.0236
2012-07-16 23:15:00,6A,5,1.0236,1.0234,1.0236,1.0235
2012-07-16 23:20:00,6A,5,1.0237,1.0234,1.0234,1.0236
2012-07-16 23:25:00,6A,5,1.0237,1.0234,1.0236,1.0234
2012-07-16 23:30:00,6A,5,1.0239,1.0235,1.0235,1.0239
2012-07-16 23:35:00,6A,5,1.0244,1.0237,1.024,1.0238
2012-07-16 23:40:00,6A,5,1.0242,1.0238,1.0238,1.0242
2012-07-16 23:45:00,6A,5,1.0244,1.024,1.0241,1.0243
2012-07-16 23:50:00,6A,5,1.0247,1.0242,1.0243,1.0247
2012-07-16 23:55:00,6A,5,1.025,1.0246,1.0247,1.0248
2012-07-17 00:00:00,6A,5,1.0248,1.0246,1.0248,1.0248
2012-07-17 00:05:00,6A,5,1.025,1.0247,1.0248,1.0247
2012-07-17 00:10:00,6A,5,1.0248,1.0244,1.0248,1.0245
2012-07-17 00:15:00,6A,5,1.0249,1.0246,1.0246,1.0248
2012-07-17 00:20:00,6A,5,1.025,1.0247,1.0248,1.0249
2012-07-17 00:25:00,6A,5,1.0249,1.0247,1.0248,1.0249
2012-07-17 00:30:00,6A,5,1.0248,1.0243,1.0248,1.0245
2012-07-17 00:35:00,6A,5,1.0245,1.0243,1.0245,1.0244
2012-07-17 00:40:00,6A,5,1.0246,1.0244,1.0244,1.0246
2012-07-17 00:45:00,6A,5,1.0246,1.0245,1.0246,1.0246
2012-07-17 00:50:00,6A,5,1.0248,1.0246,1.0246,1.0247
2012-07-17 00:55:00,6A,5,1.0247,1.0245,1.0247,1.0245
2012-07-17 01:00:00,6A,5,1.0246,1.0244,1.0245,1.0244
2012-07-17 01:05:00,6A,5,1.0245,1.0243,1.0245,1.0243
2012-07-17 01:10:00,6A,5,1.0244,1.0242,1.0243,1.0244
2012-07-17 01:15:00,6A,5,1.0244,1.024,1.0244,1.024
2012-07-17 01:20:00,6A,5,1.0241,1.0234,1.024,1.0236
2012-07-17 01:25:00,6A,5,1.0236,1.0232,1.0236,1.0236
2012-07-17 01:30:00,6A,5,1.0239,1.0235,1.0237,1.0239
2012-07-17 01:35:00,6A,5,1.0239,1.0232,1.0239,1.0234
2012-07-17 01:40:00,6A,5,1.0234,1.023,1.0234,1.023
2012-07-17 01:45:00,6A,5,1.0235,1.023,1.023,1.0234
2012-07-17 01:50:00,6A,5,1.0235,1.0232,1.0234,1.0232
2012-07-17 01:55:00,6A,5,1.0238,1.0231,1.0232,1.0235
2012-07-17 02:00:00,6A,5,1.0237,1.0233,1.0235,1.0235
2012-07-17 02:05:00,6A,5,1.0237,1.0232,1.0235,1.0233
2012-07-17 02:10:00,6A,5,1.0235,1.0231,1.0232,1.0231
2012-07-17 02:15:00,6A,5,1.0231,1.0227,1.0231,1.0227
2012-07-17 02:20:00,6A,5,1.0231,1.0227,1.0227,1.023
2012-07-17 02:25:00,6A,5,1.0233,1.0231,1.0231,1.0232
2012-07-17 02:30:00,6A,5,1.0233,1.0227,1.0233,1.0228
2012-07-17 02:35:00,6A,5,1.0235,1.0227,1.0229,1.0235
2012-07-17 02:40:00,6A,5,1.0238,1.0231,1.0234,1.0233
2012-07-17 02:45:00,6A,5,1.0234,1.0231,1.0232,1.0233
2012-07-17 02:50:00,6A,5,1.0235,1.0233,1.0234,1.0233
2012-07-17 02:55:00,6A,5,1.0236,1.0232,1.0234,1.0234
2012-07-17 03:00:00,6A,5,1.0237,1.0234,1.0234,1.0236
2012-07-17 03:05:00,6A,5,1.0242,1.0233,1.0236,1.024
2012-07-17 03:10:00,6A,5,1.0241,1.0238,1.0239,1.0241
2012-07-17 03:15:00,6A,5,1.0245,1.024,1.0242,1.0241
2012-07-17 03:20:00,6A,5,1.0243,1.0238,1.0241,1.0239
2012-07-17 03:25:00,6A,5,1.0243,1.0238,1.024,1.0242
2012-07-17 03:30:00,6A,5,1.0243,1.0239,1.0242,1.0241
2012-07-17 03:35:00,6A,5,1.0246,1.0241,1.0242,1.0243
2012-07-17 03:40:00,6A,5,1.0247,1.0239,1.0244,1.0239
2012-07-17 03:45:00,6A,5,1.0241,1.0237,1.0239,1.0237
2012-07-17 03:50:00,6A,5,1.0238,1.0234,1.0237,1.0237
2012-07-17 03:55:00,6A,5,1.0238,1.0233,1.0238,1.0235
2012-07-17 04:00:00,6A,5,1.0235,1.0233,1.0235,1.0233
2012-07-17 04:05:00,6A,5,1.0238,1.0231,1.0232,1.0233
2012-07-17 04:10:00,6A,5,1.0237,1.0233,1.0233,1.0235
2012-07-17 04:15:00,6A,5,1.0237,1.0234,1.0236,1.0235
2012-07-17 04:20:00,6A,5,1.0238,1.0235,1.0236,1.0237
2012-07-17 04:25:00,6A,5,1.0237,1.0235,1.0236,1.0236
2012-07-17 04:30:00,6A,5,1.0238,1.0235,1.0237,1.0236
2012-07-17 04:35:00,6A,5,1.0237,1.0233,1.0236,1.0236
2012-07-17 04:40:00,6A,5,1.024,1.0236,1.0236,1.024
2012-07-17 04:45:00,6A,5,1.0244,1.024,1.024,1.0241
2012-07-17 04:50:00,6A,5,1.0243,1.0238,1.0242,1.0238
2012-07-17 04:55:00,6A,5,1.0239,1.0234,1.0239,1.0234
2012-07-17 05:00:00,6A,5,1.0234,1.0226,1.0234,1.0231
2012-07-17 05:05:00,6A,5,1.0231,1.0226,1.023,1.0229
2012-07-17 05:10:00,6A,5,1.0237,1.0229,1.0229,1.0233
2012-07-17 05:15:00,6A,5,1.0238,1.0233,1.0233,1.0235
2012-07-17 05:20:00,6A,5,1.0235,1.023,1.0234,1.023
2012-07-17 05:25:00,6A,5,1.0232,1.0225,1.0231,1.0228
2012-07-17 05:30:00,6A,5,1.0228,1.0223,1.0228,1.0226
2012-07-17 05:35:00,6A,5,1.0228,1.0225,1.0225,1.0227
2012-07-17 05:40:00,6A,5,1.0227,1.0225,1.0227,1.0225
2012-07-17 05:45:00,6A,5,1.0227,1.0224,1.0226,1.0225
2012-07-17 05:50:00,6A,5,1.0229,1.0226,1.0227,1.0228
2012-07-17 05:55:00,6A,5,1.0228,1.0225,1.0228,1.0226
2012-07-17 06:00:00,6A,5,1.0226,1.0223,1.0226,1.0224
2012-07-17 06:05:00,6A,5,1.0225,1.0224,1.0224,1.0224
2012-07-17 06:10:00,6A,5,1.0228,1.0223,1.0224,1.0224
2012-07-17 06:15:00,6A,5,1.0227,1.0224,1.0225,1.0226
2012-07-17 06:20:00,6A,5,1.0226,1.0225,1.0226,1.0225
2012-07-17 06:25:00,6A,5,1.0228,1.0226,1.0226,1.0227
2012-07-17 06:30:00,6A,5,1.0227,1.0225,1.0227,1.0227
2012-07-17 06:35:00,6A,5,1.0229,1.0224,1.0226,1.0228
2012-07-17 06:40:00,6A,5,1.0229,1.0227,1.0229,1.0229
2012-07-17 06:45:00,6A,5,1.0231,1.0228,1.0229,1.0229
2012-07-17 06:50:00,6A,5,1.0229,1.0226,1.0228,1.0227
2012-07-17 06:55:00,6A,5,1.0228,1.0225,1.0228,1.0227
2012-07-17 07:00:00,6A,5,1.0228,1.0223,1.0227,1.0223
2012-07-17 07:05:00,6A,5,1.0227,1.0223,1.0223,1.0227
2012-07-17 07:10:00,6A,5,1.0228,1.0225,1.0226,1.0226
2012-07-17 07:15:00,6A,5,1.0228,1.0224,1.0225,1.0227
2012-07-17 07:20:00,6A,5,1.0229,1.0226,1.0227,1.0227
2012-07-17 07:25:00,6A,5,1.023,1.0227,1.0228,1.023
2012-07-17 07:30:00,6A,5,1.023,1.0226,1.0229,1.0227
2012-07-17 07:35:00,6A,5,1.0229,1.0225,1.0228,1.0227
2012-07-17 07:40:00,6A,5,1.0231,1.0227,1.0228,1.0229
2012-07-17 07:45:00,6A,5,1.0233,1.0229,1.0229,1.0232
2012-07-17 07:50:00,6A,5,1.0232,1.0229,1.0231,1.0229
2012-07-17 07:55:00,6A,5,1.0232,1.0228,1.0229,1.023
2012-07-17 08:00:00,6A,5,1.023,1.0227,1.023,1.0228
2012-07-17 08:05:00,6A,5,1.0229,1.0221,1.0228,1.0223
2012-07-17 08:10:00,6A,5,1.0226,1.0223,1.0223,1.0224
2012-07-17 08:15:00,6A,5,1.0227,1.0223,1.0225,1.0226
2012-07-17 08:20:00,6A,5,1.0228,1.022,1.0226,1.0223
2012-07-17 08:25:00,6A,5,1.0225,1.0218,1.0224,1.0219
2012-07-17 08:30:00,6A,5,1.0224,1.0217,1.0219,1.0221
2012-07-17 08:35:00,6A,5,1.0224,1.0217,1.022,1.0224
2012-07-17 08:40:00,6A,5,1.0224,1.0221,1.0223,1.0224
2012-07-17 08:45:00,6A,5,1.0226,1.0222,1.0223,1.0223
2012-07-17 08:50:00,6A,5,1.0225,1.0221,1.0224,1.0223
2012-07-17 08:55:00,6A,5,1.0226,1.0221,1.0224,1.0225
2012-07-17 09:00:00,6A,5,1.0226,1.0222,1.0225,1.0223
2012-07-17 09:05:00,6A,5,1.0224,1.0219,1.0222,1.0223
2012-07-17 09:10:00,6A,5,1.0225,1.0223,1.0224,1.0224
